Region,Council,Ward,Centre,Reg.No.,Ownership,"COBET-Cohort I, M","COBET-Cohort I, F","COBET-Cohort I, T","COBET-Cohort II, M","COBET-Cohort II, F","COBET-Cohort II, T"
Arusha,Arusha,Ilboru,ILBORU,EM.656,Government,15,12,27,5,9,14
Arusha,Arusha,Ilkiding'a,ILKIDING'A,EM.1171,Government,10,9,19,13,5,18
Arusha,Arusha,Kimnyaki,KIMNYAKI,EM.5788,Government,2,2,4,3,3,6
Arusha,Arusha,Kisongo,KISONGO,EM.735,Government,10,5,15,0,0,0
Arusha,Arusha,Kiutu,SEKEI,EM.992,Government,11,6,17,3,4,7
Arusha,Arusha,Lemanyata,OLKOKOLA,EM.1174,Government,6,7,13,10,4,14
Arusha,Arusha,Mlangarini,MUUNGANO,EM.9230,Government,1,0,1,2,2,4
Arusha,Arusha,Mwandet,IMBIBIA,EM.5787,Government,13,24,37,21,16,37
Arusha,Arusha,Mwandet,MWANDETI,EM.1457,Government,37,15,52,0,0,0
Arusha,Arusha,Oldonyosambu,OLDONYOSAMBU,EM.2600,Government,28,8,36,13,8,21
Arusha,Arusha,Oljoro,MIRONGOINE,EM.6946,Government,16,8,24,14,8,22
Arusha,Arusha,Oljoro,MBUYUNI,EM.6945,Government,7,4,11,4,1,5
Arusha,Arusha,Oloirien,MRINGA,EM.6947,Government,3,2,5,1,4,5
Arusha,Arusha,Olturumet,NGARAMTONI,EM.7605,Government,10,7,17,0,0,0
Arusha,Arusha,Sambasha,SAMBASHA,EM.2856,Government,4,5,9,0,0,0
Arusha,Arusha,Sambasha,TIMBOLO,EM.11084,Government,0,1,1,5,0,5
Arusha,Arusha CC,Baraa,BARAA,EM.8200,Government,13,14,27,0,0,0
Arusha,Arusha CC,Daraja Ii,DARAJA MBILI,EM.10410,Government,2,5,7,0,0,0
Arusha,Arusha CC,Elerai,BURKA,EM.2013,Government,4,6,10,0,0,0
Arusha,Arusha CC,Kaloleni,KALOLENI,EM.1563,Government,9,8,17,4,4,8
Arusha,Arusha CC,Kati,MERU,EM.1709,Government,2,1,3,2,4,6
Arusha,Arusha CC,Moivaro,SHANGARAO,EM.6951,Government,12,6,18,0,2,2
Arusha,Arusha CC,Ngarenaro,NGARENARO,EM.2858,Government,15,12,27,6,2,8
Arusha,Arusha CC,Osunyai Jr,OSUNYAI,EM.11567,Government,12,14,26,27,15,42
Arusha,Arusha CC,Sekei,SANAWARI,EM.302,Government,3,0,3,0,1,1
Arusha,Arusha CC,Sinoni,SINON,EM.736,Government,14,17,31,0,0,0
Arusha,Arusha CC,Sinoni,ENGOSENGIU,EM.2101,Government,8,10,18,0,0,0
Arusha,Arusha CC,Unga Ltd,UNGA LTD,EM.8896,Government,17,10,27,0,0,0
Arusha,Karatu,Baray,MBUGANYEKUNDU,EM.10721,Government,3,2,5,0,3,3
Arusha,Karatu,Buger,ENDONYAWET,EM.6952,Government,2,5,7,1,4,5
Arusha,Karatu,Buger,AYALALIYO,EM.10029,Government,2,0,2,0,0,0
Arusha,Karatu,Daa,MANG'OLA JUU,EM.2103,Government,6,11,17,1,0,1
Arusha,Karatu,Daa,MIDABINI,EM.8823,Government,0,1,1,2,1,3
Arusha,Karatu,Endabash,ENDABASH LAJA,EM.10412,Government,5,3,8,0,0,0
Arusha,Karatu,Endabash,QARU LAMBO,EM.9582,Government,2,1,3,0,0,0
Arusha,Karatu,Endamarariek,ENDAMARARIEK,EM.1175,Government,19,13,32,1,4,5
Arusha,Karatu,Endamarariek,BARAY KHUSUMAY,EM.10030,Government,9,7,16,6,1,7
Arusha,Karatu,Endamarariek,BASODAWISH,EM.2859,Government,6,8,14,0,0,0
Arusha,Karatu,Endamarariek,GETAMOCK,EM.6953,Government,0,1,1,0,0,0
Arusha,Karatu,Kansay,UMBANGW,EM.10722,Government,23,14,37,0,0,0
Arusha,Karatu,Kansay,BARAKTA,EM.8428,Government,9,6,15,5,1,6
Arusha,Karatu,Kansay,KAMBI YA FARU,EM.8202,Government,6,8,14,0,0,0
Arusha,Karatu,Karatu,BWAWANI,EM.8429,Government,10,1,11,13,2,15
Arusha,Karatu,Mang'ola,EYASI,EM.9580,Government,3,1,4,2,2,4
Arusha,Karatu,Mbulumbulu,MARMO,EM.14581,Government,1,0,1,0,0,0
Arusha,Karatu,Mbulumbulu,SLAHHAMO,EM.7613,Government,1,0,1,0,0,0
Arusha,Karatu,Oldeani,OLDEANI,EM.996,Government,0,4,4,0,0,0
Arusha,Karatu,Qurus,NJIA PANDA,EM.8752,Government,3,2,5,3,2,5
Arusha,Karatu,Rhotia,AFRICAN GALLERIA,EM.17688,Government,6,11,17,0,0,0
Arusha,Karatu,Rhotia,AKKO,EM.12387,Government,2,2,4,0,0,0
Arusha,Karatu,Rhotia,MARERA,EM.10031,Government,0,0,0,0,2,2
Arusha,Longido,Elang'atadapash,OLCHORONYOKIE,EM.10724,Government,3,1,4,6,7,13
Arusha,Longido,Engarenaibor,ENGARENAIBOR,EM.3413,Government,48,37,85,0,0,0
Arusha,Longido,Engarenaibor,NGOSWAK,EM.11572,Government,26,16,42,0,0,0
Arusha,Longido,Engikaret,KISERIAN,EM.9336,Government,11,7,18,8,5,13
Arusha,Longido,Gelai Lumbwa,GELAI LUMBWA,EM.6955,Government,21,21,42,0,0,0
Arusha,Longido,Ilorienito,LOSIRWA,EM.10416,Government,1,1,2,0,0,0
Arusha,Longido,Ketumbeine,KETUMBEINE,EM.3026,Government,17,13,30,0,0,0
Arusha,Longido,Kimokouwa,KIMOKOUWA,EM.7618,Government,7,7,14,0,0,0
Arusha,Longido,Longido,LONGIDO,EM.474,Government,14,9,23,0,0,0
Arusha,Longido,Mundarara,KITARINI,EM.13895,Government,14,18,32,0,0,0
