S/N,REGION,COUNCIL,SCHOOL NAME,Reg#," July, 2022 "," Augut, 2022 "," September, 2022 "," October, 2022 "," November, 2022 "," December, 2022 "," January, 2023 "," February, 2023 "," March, 2023 "," April, 2023 "," May, 2023 "," June, 2023 ", TOTAL 
1,Arusha,Arusha, NGORBOB , EM.19073 ,"269,958.17","268,511.50","263,972.03","263,371.93","263,224.00","262,699.00","262,482.00","262,271.00","262,029.00","262,029.00","262,029.00","261,975.00","3,164,551.63"
2,Arusha,Arusha CC, AZIMIO , EM.14314 ,"373,070.79","371,071.55","378,478.13","376,173.68","375,963.00","375,213.00","374,903.00","374,601.00","374,255.00","374,255.00","374,255.00","374,178.00","4,496,417.15"
3,Arusha,Arusha CC, BARAA , EM.8200 ,"1,178,800.05","1,172,483.03","1,287,433.64","1,284,630.60","1,283,910.00","1,281,348.00","1,280,292.00","1,279,260.00","1,278,078.00","1,278,078.00","1,278,078.00","1,277,817.00","15,160,208.32"
4,Arusha,Arusha CC, BURKA , EM.2013 ,"553,388.33","550,422.80","530,477.38","527,247.45","526,952.00","525,900.00","525,467.00","525,043.00","524,558.00","524,558.00","524,558.00","524,451.00","6,363,022.96"
5,Arusha,Arusha CC, BURKA ESTATE , EM.8201 ,"912,468.96","907,579.17","915,542.14","909,967.66","909,457.00","907,643.00","906,894.00","906,163.00","905,326.00","905,326.00","905,326.00","905,141.00","10,896,833.93"
6,Arusha,Arusha CC, DARAJA MBILI , EM.10410 ,"829,564.34","825,118.83","811,675.99","806,733.92","806,282.00","804,673.00","804,009.00","803,361.00","802,619.00","802,619.00","802,619.00","802,455.00","9,701,730.07"
7,Arusha,Arusha CC, ELERAI , EM.11086 ,"982,419.74","977,155.09","971,275.20","965,361.37","964,820.00","962,895.00","962,101.00","961,325.00","960,437.00","960,437.00","960,437.00","960,241.00","11,588,904.39"
8,Arusha,Arusha CC, ENGIRA , EM.10549 ,"389,651.71","387,563.62","363,784.87","361,569.88","361,367.00","360,646.00","360,349.00","360,058.00","359,726.00","359,726.00","359,726.00","359,652.00","4,383,820.08"
9,Arusha,Arusha CC, ENGOSENGIU , EM.2101 ,"1,133,202.51","1,127,129.84","1,138,474.37","1,131,542.52","1,130,908.00","1,128,651.00","1,127,721.00","1,126,812.00","1,125,771.00","1,125,771.00","1,125,771.00","1,125,541.00","13,547,295.24"
10,Arusha,Arusha CC, KALOLENI , EM.1563 ,"615,566.80","612,268.06","680,449.97","688,896.38","688,510.00","687,136.00","686,570.00","686,016.00","685,382.00","685,382.00","685,382.00","685,242.00","8,086,801.21"
11,Arusha,Arusha CC, KIJENGE , EM.2857 ,"942,003.73","936,955.67","991,035.10","985,000.96","984,449.00","982,484.00","981,674.00","980,883.00","979,977.00","979,977.00","979,977.00","979,776.00","11,704,192.47"
12,Arusha,Arusha CC, KIMANDOLU , EM.1564 ,"617,639.41","614,329.57","609,516.99","605,805.81","605,466.00","604,258.00","603,760.00","603,273.00","602,716.00","602,716.00","602,716.00","602,593.00","7,274,789.77"
13,Arusha,Arusha CC, KISIMANI , EM.15404 ,"759,613.57","755,542.91","815,222.64","810,258.97","809,805.00","808,189.00","807,522.00","806,871.00","806,126.00","806,126.00","806,126.00","805,961.00","9,597,364.09"
