S/N,REGION,COUNCIL,SCHOOL NAME,Reg#,"July, 2022","Augut, 2022","September, 2022","October, 2022","November, 2022","December, 2022","January, 2023","February, 2023","March, 2023","April, 2023","May, 2023","June, 2023", TOTAL 
1,Arusha,Arusha CC,ARUSHA DAY,S.422,"951,189.59","944,128.32","972,632.15","967,566.19","967,290.00","964,379.00","964,036.00","963,865.00","962,117.00","961,157.00","961,157.00","958,443.00","11,537,960.25"
2,Arusha,Arusha CC,ARUSHA GIRLS,S.4801,"302,753.93","300,506.40","228,980.51","229,916.72","229,851.00","229,159.00","229,078.00","229,037.00","228,622.00","228,394.00","228,394.00","227,749.00","2,892,441.56"
3,Arusha,Arusha CC,ARUSHA SEC,S.35,"2,224,337.65","2,207,825.02","2,107,904.67","2,092,667.91","2,092,070.00","2,085,774.00","2,085,033.00","2,084,663.00","2,080,881.00","2,078,806.00","2,078,806.00","2,072,936.00","25,291,704.25"
4,Arusha,Arusha CC,ARUSHA TERRAT,S.5103,"667,640.20","662,683.89","912,712.02","907,958.15","907,699.00","904,967.00","904,645.00","904,485.00","902,844.00","901,944.00","901,944.00","899,397.00","10,378,919.26"
5,Arusha,Arusha CC,BARAA,S.1104,"1,098,047.84","1,089,896.35","858,141.90","853,672.26","853,428.00","850,860.00","850,558.00","850,407.00","848,864.00","848,017.00","848,017.00","845,623.00","10,695,532.35"
6,Arusha,Arusha CC,ELERAI,S.2018,"1,731,797.67","1,718,941.47","1,656,363.67","1,647,736.48","1,647,265.00","1,642,308.00","1,641,725.00","1,641,434.00","1,638,456.00","1,636,822.00","1,636,822.00","1,632,200.00","19,871,871.29"
7,Arusha,Arusha CC,FELIX MREMA,S.4168,"1,540,881.95","1,529,443.03","1,265,812.80","1,259,219.81","1,258,860.00","1,255,071.00","1,254,626.00","1,254,403.00","1,252,127.00","1,250,879.00","1,250,879.00","1,247,346.00","15,619,548.58"
8,Arusha,Arusha CC,KALIMAJI,S.5695,,"62,792.38","57,780.13","57,479.18","57,463.00","57,290.00","57,269.00","57,259.00","57,155.00","57,098.00","57,098.00","56,937.00","635,620.69"
9,Arusha,Arusha CC,KALOLENI,S.791,"1,061,898.11","1,054,014.99","967,282.14","962,244.04","961,969.00","959,074.00","958,733.00","958,563.00","956,824.00","955,870.00","955,870.00","953,171.00","11,705,513.29"
10,Arusha,Arusha CC,KIMASEKI,S.1841,"1,696,777.63","1,684,181.40","1,690,603.74","1,681,798.22","1,681,317.00","1,676,258.00","1,675,662.00","1,675,365.00","1,672,326.00","1,670,658.00","1,670,658.00","1,665,940.00","20,141,544.99"
