CENTRE NUMBER,CENTRE NAME,
P0101,AZANIA  CENTRE,
P0104,BWIRU BOYS  CENTRE,
P0108,IFUNDA  CENTRE,
P0110,ILBORU  CENTRE,
P0112,IYUNGA  CENTRE,
P0116,KANTALAMBA  CENTRE,
P0119,KIBAHA  CENTRE,
P0129,MARA  CENTRE,
P0132,MILAMBO  CENTRE,
P0134,MOSHI  CENTRE,
P0135,MOSHI TECHNICAL  CENTRE,
P0136,MUSOMA  CENTRE,
P0138,MPWAPWA  CENTRE,
P0140,MZUMBE  CENTRE,
P0147,PUGU  CENTRE,
P0152,SHINYANGA  CENTRE,
P0153,SONGEA BOYS  CENTRE,
P0156,TANGA TECHNICAL  CENTRE,
P0157,HANGA RELIGIOUS SEMINARY CENTRE,
P0167,KIDUGALA SEMINARY CENTRE,
P0173,NYAMILAMA  CENTRE,
P0176,LUSANGI MORAVIAN JUNIOR SEMINARY CENTRE,
P0178,MANOW LUTHERAN SEMINARY CENTRE,
P0181,KISARAWE LUTHERAN JUNIOR SEMINARY CENTRE,
P0203,IRINGA GIRLS  CENTRE,
P0209,KOROGWE  CENTRE,
P0210,BIGWA SISTERS  CENTRE,
P0211,LOLEZA  CENTRE,
P0214,MSALATO  CENTRE,
P0217,PERAMIHO GIRLS  CENTRE,
P0218,RUGAMBWA  CENTRE,
P0219,SONGEA GIRLS  CENTRE,
P0220,TABORA GIRLS  CENTRE,
P0222,ZANAKI  CENTRE,
P0225,CAGLIERO GIRLS  CENTRE,
P0226,KAGUNGULI  CENTRE,
P0238,MRUMA GIRLS  CENTRE,
P0242,ST. MARGARET  CENTRE,
P0254,WAL UL ASR GIRLS  CENTRE,
P0259,SAMARITAN GIRLS  CENTRE,
P0261,MLIMBA GIRLS HIGH SCHOOL CENTRE,
P0265,CORNELIUS  CENTRE,
P0267,ROSEMARIE GIRLS  CENTRE,
P0272,AL-LHASAN  CENTRE,
P0275,GLENRONS GIRLS  CENTRE,
P0278,IGUMBILO  CENTRE,
P0279,EMMABERG  CENTRE,
P0280,UMMU-SSALAMA GIRLS CENTRE,
P0285,ST.THERESIA GIRLS CENTRE,
P0301,AIRWING  J.W.T.Z. CENTRE,
P0302,ARUSHA  CENTRE,
P0304,BUKOBA  CENTRE,
P0305,BULUBA  CENTRE,
P0306,DODOMA  CENTRE,
P0307,DODOMA CENTRAL  CENTRE,
P0308,ENABOISHU  CENTRE,
P0309,FIDEL CASTRO  CENTRE,
P0313,IKIZU  CENTRE,
P0314,KAZIMA  CENTRE,
P0316,KIBASILA  CENTRE,
P0317,KIBO  CENTRE,
P0321,KINONDONI  CENTRE,
P0323,LAKE  CENTRE,
P0324,LINDI  CENTRE,
P0325,LUGALO  CENTRE,
P0326,LUMUMBA  CENTRE,
P0327,MINJA TECHNICAL  CENTRE,
P0328,MAWENZI  CENTRE,
P0329,MAKUMIRA  CENTRE,
P0330,MBEYA  CENTRE,
P0331,MKONGE  CENTRE,
P0332,MOROGORO  CENTRE,
P0333,MWANZA  CENTRE,
P0334,MWENGE  CENTRE,
P0338,NDANDA  CENTRE,
P0341,SANGU  CENTRE,
P0345,USAGARA  CENTRE,
P0346,UYUI  CENTRE,
P0347,TAMBAZA  CENTRE,
P0351,BAGAMOYO  CENTRE,
P0352,TARIME  CENTRE,
P0353,PARANE  CENTRE,
P0355,LOMWE  CENTRE,
P0359,KIGURUNYEMBE  CENTRE,
